nf_calories,nf_sodium,nf_dietary_fiber,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_serving_weight_grams,key_ingredient
4.6,9.2,0.56,0.43,26.99,9,1.34,1.97,20,Coriander Leaves
5.36,0.63,0.75,0.22,0,0.63,1.28,1.63,1.8,Coriander Seeds
52.32,10.8,1.51,1.37,0.01,0,1.94,1.64,24,Corn Tortillas
487.68,11.52,1.15,0.33,0,0,0.26,3.34,128,Cornstarch
408,32.4,0,3.41,35.28,1.2,7.92,0.67,120,Cream
921.15,367.01,0,5.42,71,2,14,1,230,Creme Fraiche
106,152,0,7,4,0,21,0,,Cubed Feta Cheese
30.15,4.02,1.01,1.31,4.21,9.39,3.21,3.13,201,Cucumber
22.5,10.08,0.63,1.07,1.52,0.77,5.59,22.12,6,Cumin
7.87,3.53,0.22,0.37,0.53,0.27,1.96,7.74,2.1,Cumin Seeds
20.48,3.28,3.35,0.9,0.02,0.07,3.31,6.69,6.3,Curry Powder
551,40.6,0,0.17,0,0,12.04,5.72,145,Dark Brown Sugar
394.81,76,0.5,0,,,,,100,Dark Soft Brown Sugar
2.81,291.13,0.04,0.43,0,0,0.17,0.43,5.3,Dark Soy Sauce
15,0,0,0,,,,,4,Demerara Sugar
39.28,223.46,4.66,1.94,22,52,8,8,246,Diced Tomatoes
139.5,76.26,0.63,1.56,0,0,2,2,28.35,Digestive Biscuits
2.53,2.08,0.14,0.2,1.17,0.83,1.78,2.71,1,Dill
310,380,1,10,0,0,4,10,100,Doner Meat
30,0,,0,0,0,0,0,9,Double Cream
4.77,0.45,0.76,0.16,0.61,0.07,2.87,3.68,1.8,Dried Oregano
20,190,,0,,,,,29,Dry White Wine
70,65,0,6,10,0,2,6,53,Egg Plants
180,510,2,7,10,10,4,8,85,Egg Rolls
23.92,76.36,0,5.02,0,0,0,0,46,Egg White
782.46,116.64,0,38.54,70.08,0,31.35,36.86,243,Egg Yolks
347.49,345.06,0,30.52,26.24,0,13.61,23.63,243,Eggs
24,520.2,1.02,1,8,2,,2,60,Enchilada Sauce
9.79,164,,0.25,,,,,5,English Mustard
59.67,0.14,0,0,0,0,0,0.21,6.75,Extra Virgin Olive Oil
18.35,410.57,0.76,0.26,4.27,0,0,2.28,5.7,Fajita Seasoning
169.06,1.07,1.93,6.21,0,0,0.75,7.61,107,Farfalle
72.54,121.68,7.25,2.9,45.07,46.8,11.47,9.49,234,Fennel
72.54,121.68,7.25,2.9,45.07,46.8,11.47,9.49,234,Fennel Bulb
6.9,1.76,0.8,0.32,0.05,0.7,2.39,2.06,2,Fennel Seeds
35.85,7.44,2.73,2.55,0.13,0.56,1.95,20.68,11.1,Fenugreek
44.88,155.89,0,2.42,1.43,0,8.38,0.61,17,Feta
6.3,1413.18,0,0.91,0.04,0.15,0.77,0.78,18,Fish Sauce
159.55,0,1.9,6.4,,,,,25,Flaked Almonds
190,55,0,0,0,0,2,0,40,Flax Eggs
455,2.5,3.38,12.91,0,0,1.88,32.22,125,Flour
380.25,559.26,3.86,10.18,0,0,4.56,21.45,117,Flour Tortilla
110,0,,,,,,,148,Floury Potatoes
59,190,,12,,,,,,"Free-range Egg, Beaten"
85,,,,,,,,,"Free-range Eggs, Beaten"
252,7.5,22.5,19.5,,,6,22.5,68,French Lentils
9.21,1.59,0.64,1.27,41.91,11.91,6.99,6.99,39.69,Fresh Basil
0.4,0.04,0.06,0.02,0.38,1.07,0.16,0.39,0.4,Fresh Thyme
110,80,5,4,,,,4,28,Freshly Chopped Parsley
274.56,184.8,3.35,3.02,0,6.89,1.59,3.97,88,Fries
220,75,0,19,8,0,25,0,227,Full Fat Yogurt
8.2,2.2,0.63,0.29,0,0,2,4,2.6,Garam Masala
4.47,0.51,0.06,0.19,0.01,1.56,0.54,0.28,3,Garlic
4.47,0.51,0.06,0.19,0.01,1.56,0.54,0.28,3,Garlic Clove
10.26,1.86,0.28,0.51,0,0.06,0.24,0.97,3.1,Garlic Powder
208.17,2798.71,0.5,5.5,0,1,2,7,140.75,Garlic Sauce
112.13,0.26,0,0.04,7.86,0,0.05,0,12.8,Ghee
19.2,3.12,0.48,0.44,0,2,0.38,0.8,24,Ginger
20.3,0,,0,,,,,,Ginger Cordial
61.12,257.81,0.27,0.48,0,3,1,1,19.21,Ginger Garlic Paste
40.3,2.08,0.32,0.29,0,1,0,1,19.11,Ginger Paste
120,20,,0,0,0,0,0,28,Golden Syrup
100.93,232.19,0,7.07,3.19,0,19.85,0.38,28.35,Gouda Cheese
16.25,0.04,0,0,0,0,0,0.01,4.2,Granulated Sugar
1.42,0.4,0.09,0.07,1,2,0,0,7.9,Grape Tomatoes
133.74,81.6,0,23.09,0.19,0,24.93,0.88,226.67,Greek Yogurt
17.05,3.3,1.49,1.01,7.59,11.18,2.04,3.15,55,Green Beans
5.49,500,,0.25,,,,,25,Green Chilli
3.92,42.01,0.09,0.03,0.21,0,0.14,0.07,2.7,Green Olives
160,15,7,12,0,0,4,15,49,Green Red Lentils
11.4,180,0.57,0.34,1.3,6.15,0.27,1.08,30,Green Salsa
100,15,1,0,0,2,0,2,24,Ground Almonds
22.5,10.08,0.63,1.07,1.52,0.77,5.59,22.12,6,Ground Cumin
6.03,0.49,0.25,0.16,0.01,0.02,0.21,1.98,1.8,Ground Ginger
120,160,0,8,10,0,30,0,28,Gruyère
140,0,2,2,0,0,2,4,26,Hard Taco Shells
52,7,,3,0,0,0,0,100,Harissa Spice
408,32.4,0,3.41,35.28,1.2,7.92,0.67,120,Heavy Cream
63.84,0.84,0.04,0.06,0,0.18,0.13,0.49,21,Honey
7.2,63,0.49,0.18,0.01,6.23,0.84,0.35,15,Horseradish
15,450,,0.5,,10,,,5,Hot Beef Stock
0.13,31.72,0,0.01,0.04,1.5,0.01,0.03,1.2,Hotsauce
136.62,52.8,0.46,2.31,5.56,0.66,8.45,0.33,66,Ice Cream
210,520,0,11,0,0,0,4,75,Italian Fennel Sausages
0.56,0.09,0.08,0.02,0,0,0,1,0.2,Italian Seasoning
4.06,0.42,0.39,0.13,3.02,27.67,0.17,0.19,14,Jalapeno
205.4,1.58,0.63,4.25,0,0,1.58,10.53,158,Jasmine Rice
109.5,6,2.4,3,0.6,10,2.1,28.33,150,Jerusalem Artichokes
36.4,29.9,2.6,2.47,354.15,88.83,9.36,6.5,130,Kale
Khus Khus
72.61,520,0.25,16,,,,,100,King Prawns
0,480,,0,,,,,1.2,Kosher Salt
171.7,56.1,0,22.6,0,0,1.44,11.52,85,Lamb
1317.6,341.28,0,123.04,0.97,0,4.78,53.77,432,Lamb Loin Chops
365.43,1080,4,20.3,,,,,439,Lamb Mince
365.2,0,1,7.1,,,,,100,Lasagne Sheets
121.33,200,0.5,20.4,,,,,100,Lean Minced Beef
38.44,12.4,1.24,1,20.14,8.68,3.72,7.58,124,Leek
2.03,0.14,0.2,0.08,0.03,6.18,0.18,0.23,7,Lemon
2.55,3.6,0.11,0.07,0.1,3.58,0.15,0.05,15,Lemon Juice
2.82,0.36,0.64,0.09,0.06,12.9,0.8,0.27,6,Lemon Zest
2.03,0.14,0.2,0.08,0.03,6.18,0.18,0.23,7,Lemons
