nf_calories,nf_sodium,nf_dietary_fiber,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_serving_weight_grams,key_ingredient
89.89,1.01,2.63,1.1,1.29,14.65,0.51,1.46,101,Banana
9.88,0.19,1.24,0.23,0.13,8.3,0.48,0.73,19,Raspberries
0.78,0.01,0.03,0.01,0.01,0.22,0.01,0.02,1.36,Blueberries
523.2,1.6,5.36,12.18,0.32,1.73,7.84,12.93,80,Walnuts
10.3,0,0.14,0.14,0.02,0.03,0.1,0.21,1.49,Pecan Nuts
819,37.8,0,0.13,0,0,32.13,1.93,315,Maple Syrup
403.65,140,,0,,,,,100,Light Brown Soft Sugar
396.48,76,,0,,,,,100,Dark Brown Soft Sugar
917.28,40.32,11.76,8.2,2,,9,75,168,Dark Chocolate Chips
235.4,34.76,1.5,3.37,1.72,0,8.32,5.74,44,Milk Chocolate
155.93,6.52,2.04,1.44,0.28,0,1.62,12.8,28.35,Dark Chocolate
49,2.45,2.7,1.76,282,19.19,3.68,7.76,245,Pumpkin
212.57,80,1.2,2.7,,,,,46,Shortcrust Pastry
35,210,1,0,4,0,0,0,30,Peanut Cookies
5,0,,2,,,,,1.8,Gelatine Leafs
714.41,654.16,3.68,11.15,4.2,0,3.99,9.96,147,Peanut Brittle
57.33,0,2.21,1.34,9.58,16.17,0.88,2.04,147,Peaches
25,0,1,1,4,310,,2,100,Yellow Pepper
5,0,1,0,,,,,,Green Pepper
32.55,6.51,2.17,2.47,48.48,46.66,3.91,4.46,217,Courgettes
35,,,1,,,,,150,Tinned Tomatos
69.46,0.57,1.45,0.9,0.14,12.29,0.82,1.43,28.35,Chestnuts
0.34,0.01,0.03,0.02,0,0,0,0.02,1.1,Wild Mushrooms
119.34,0.27,0,0,0,0,0.01,0.42,13.5,Truffle Oil
364.78,916.22,0,22.07,19.67,0,69.05,1.36,122,Paneer
261.9,418.5,1.98,8.66,,,7.56,16.25,90,Naan Bread
225.72,471.24,15.64,17.86,0.32,4.95,3.76,36.63,198,Lentils
150.81,79.17,4.11,2.4,217,102,5,7,175.58,Roasted Vegetables
13.97,0.11,0.7,0.95,0,0.22,0.39,1.36,11,Kidney Beans
160,0,4,0,0,0,0,2,45,Mixed Grain
168.68,32.6,2.64,4.82,0.38,0,12.08,14.1,28.35,Tahini
380.25,559.26,3.86,10.18,0,0,4.56,21.45,117,Tortillas
195.13,463.22,0,8.35,0,0,2,9,140,Udon Noodles
3.75,2.7,0.38,0.19,0.29,9.15,0.6,0.39,15,Cabbage
23.8,6.3,1.77,1.58,0,0,0.15,1.58,70,Shiitake Mushrooms
71.88,0.45,0,0.08,0,0,0,0,29.1,Mirin
130,0,,0,,,,,14,Sesame Seed Oil
881.26,1950.51,7.09,34.86,0.11,0,16.8,70.4,324,Baguette
10,0,1,1,,,,,,Vine Tomatoes
965.02,7.91,0,1.69,0,0,0.23,1.07,113,Suet
71.04,23.04,4.42,2.07,0.08,80,8.26,4.69,192,Swede
87.57,615.51,0,13.97,0.54,0,0.25,2.91,63,Ham
40.75,53,0,4.72,2.44,5.33,0.4,12.78,25,Oysters
262.47,21.8,0,1.28,0,0,2,1,580,Stout
1849.1,0,0,0,0,0,0,0,205,Lard
38.36,42.28,0,6.62,2.55,5.6,0.5,19.29,28,Lamb Kidney
134.3,79.9,0,23.18,0,0,1.61,27.39,85,Beef Kidney
142.82,411.09,0,31.5,2.2,0,2.12,1.82,193,Haddock
98.6,648.55,0,21.45,1.36,0,4.17,6.61,85,Smoked Haddock
60.48,35.28,4.4,4.32,26.08,173.6,6.08,11.2,168,Brussels Sprouts
77.74,2.86,0.96,0.8,0,1,1.3,2.72,26,Raisins
407.52,11.52,9.79,5.88,2.1,11.28,12.38,26.08,144,Currants
43.01,29.61,0,1.41,1.28,0.06,4.9,0.66,35.25,Custard
90,20,1,0,0,2,2,4,30,Mixed Peel
62.72,1.12,4.82,1.57,0.94,76.53,3.7,6.22,112,Redcurrants
2.8,0.06,0.34,0.09,0.27,2.26,0.18,0.23,6.5,Blackberries
82.4,40,0.4,0.9,,,,,15,Hazlenuts
130,0,5,1,2,8,2,2,242,Braeburn Apples
5,1.5,,,,,,,,Red Food Colouring
103.9,60,5.7,10.2,,,,,25,Pink Food Colouring
103.9,60,5.7,10.2,,,,,25,Blue Food Colouring
103.9,60,5.7,10.2,,,,,25,Yellow Food Colouring
48.4,8,0.06,0.14,0.82,2.93,0.4,0.54,20,Apricot Jam
915.47,33.08,4.63,8.69,0,0,17,9,228.11,Marzipan
169.53,141.18,3.09,5.94,0.01,0,7.6,5.87,28.35,Almonds
379,680,0,14.6,0,0,0.6,35.56,100,Black Pudding
238.76,871.22,10.41,12.07,5.49,0,8.64,16.79,254,Baked Beans
455,2.5,3.38,12.91,0,0,1.88,32.22,125,White Flour
23.4,3.67,1.94,2.91,0,0.04,0.22,0.87,7.2,Yeast
1.19,24,,0,,,,,,Fruit Mix
110.25,10.08,3.49,1.08,12,3,2,6,45,Dried Fruit
5.17,0,0.17,0.09,0.1,0.96,0.11,0.16,8.2,Cherry
150.47,0,,0,,,,,,Glace Cherry
242.67,120,0.6,2.7,,,,,63,Treacle
101.36,61.6,2.8,3.34,14.41,0,9.83,38.45,28,Oatmeal
606.84,3.12,16.54,26.35,0,0,8.42,40.91,156,Oats
347.49,345.06,0,30.52,26.24,0,13.61,23.63,243,Egg
15,450,,0.5,,10,,,5,Beef Shin
7.87,7.06,0.78,0.53,3,8,3,5,3.7,Bouquet Garni
30,0,,0,0,0,0,0,9,Single Cream
5,1.5,,,,,,,,Red Wine Jelly
56.68,1.09,2.62,0.28,1.18,8.36,0.65,0.73,109,Apples
509.58,580.99,0,30.22,40.99,0,41.73,12.59,140,Goats Cheese
60,420,0,7,0,0,0,2,28,Prosciutto
35.85,0.55,0,0.04,2.5,0,0.12,0.01,5,Unsalted Butter
94.69,178.32,0,5.88,3.36,0,5.22,0.79,28.35,Brie
1.77,0.37,0.04,0.14,0.5,0.5,0.68,1.08,0.6,Tarragon Leaves
0.9,0.09,0.08,0.1,2.61,2.91,0.28,0.27,3,Chives
131.1,2.3,7.13,0.83,1.15,16.48,2.07,2.3,230,Pears
916.3,153,0.34,9.98,1.02,1.42,33.83,2.27,170,White Chocolate
7.08,0.34,0.31,0.37,0.13,0.73,1.36,4.31,2.1,Star Anise
0,280,0,0,0,0,0,0,1,Tiger Prawns
124,0,0,0.5,,,,,35,Custard Powder
653.72,40,16,6.9,,,,,100,Desiccated Coconut
197.34,182.16,11.39,13.03,106.26,41.75,6.07,21.36,253,Frozen Peas
240,280,1,10,0,4,2,15,105,Minced Pork
347.04,1258.02,5.78,8.39,7.13,36.95,1.45,10.18,482,Creamed Corn
5.16,2.14,0.25,0.28,0.35,1.31,0.22,1.01,2,Sun-Dried Tomatoes
5,120,,0,0,0,0,0,5,Dijon Mustard
0.13,31.72,0,0.01,0.04,1.5,0.01,0.03,1.2,Tabasco Sauce
123.76,0,0,0,0,0,0,0,14,Canola Oil
89.25,66.3,0,19.41,0.8,1.42,1.19,2.31,85,Cod
82.22,1992.15,0,17.81,0.79,1.65,4.54,3.94,28.35,Salt Cod
52.56,0.97,0.54,1.22,0,0,1,1,28.35,Ackee
40,190,0,0,2,4,0,0,18,Jerk
204.85,62.05,0,20.29,0.15,0,2.81,10.72,85,Ground Beef
311.93,520,,1.7,,,,,100,Baby Aubergine
150,0,3,3,,,,,47,Paella Rice
18,4.05,0.68,0.84,9,108,1,3,45,Scotch Bonnet
68.89,15.88,0,7.64,0,0,1,3,28.35,Oxtail
187,409.7,9.18,12.92,0.51,0.85,6.12,14.17,170,Broad Beans
108.8,48.45,0,22.36,1.96,2.27,3.4,1.13,85,Red Snapper
18.39,40,0,0.7,,,,,,Malt Vinegar
